VSTD,VDR,VU,LSTER,Energy_Entropy,ZSTD,HZCRR,Start Time (s),End Time (s)
0.16275856,0.65963954,1.0421468,0.14,3.2163808,0.0036734328056932442,0.02,0.0,1.0
0.13019529,0.45493728,1.0664291,0.0,3.2683573,0.0032144041062402546,0.0,0.5,1.5
0.11435938,0.38526523,0.9960886,0.0,3.2902665,0.0029424476362394274,0.02,1.0,2.0
0.11768648,0.49982536,1.2606243,0.06,3.2734628,0.003386707123462373,0.02,1.5,2.5
0.13126771,0.5038797,1.3769507,0.08,3.259758,0.003286308137723949,0.0,2.0,3.0
0.109221414,0.43121862,1.2646978,0.02,3.2910602,0.004860236915615161,0.08,2.5,3.5
0.095013835,0.41842043,1.1348865,0.02,3.3008094,0.004811481238345464,0.04,3.0,4.0
0.112309836,0.49612713,0.93118167,0.02,3.2771368,0.0029004635732510506,0.0,3.5,4.5
0.11433034,0.49612713,0.842559,0.02,3.2815816,0.0030031230301611933,0.02,4.0,5.0
0.09330827,0.39989993,0.8704728,0.0,3.2970755,0.0025572181982765354,0.0,4.5,5.5
0.12044235,0.53828514,1.7378439,0.04,3.287663,0.0023478200763346296,0.0,5.0,6.0
0.13341512,0.5457457,2.3449936,0.02,3.289776,0.0027355986955668026,0.0,5.5,6.5
0.11795703,0.4962091,1.8999498,0.02,3.3002717,0.004669887228378657,0.04,6.0,7.0
0.10880476,0.5394876,1.4348494,0.02,3.288491,0.004757787380718429,0.04,6.5,7.5
0.11872362,0.47721672,1.0551416,0.0,3.2753904,0.0029075621417561487,0.0,7.0,8.0
0.11374243,0.4514468,0.8533088,0.0,3.2779336,0.0022937480420314967,0.0,7.5,8.5
0.10450739,0.4125352,0.863157,0.0,3.2824118,0.0019183754905338693,0.0,8.0,9.0
0.11283801,0.48793402,1.0220255,0.02,3.2909966,0.0026806972701111415,0.0,8.5,9.5
0.13067454,0.5164849,1.4105026,0.06,3.2707908,0.003422205181473192,0.0,9.0,10.0
0.11577561,0.47370005,1.3143454,0.02,3.2805464,0.004710542651975694,0.04,9.5,10.5
0.09946631,0.41123813,0.90888035,0.0,3.295218,0.0045494233227693255,0.02,10.0,11.0
0.0893723,0.3531078,0.73116606,0.0,3.2973766,0.003943854712917321,0.0,10.5,11.5
