VSTD,VDR,VU,LSTER,Energy_Entropy,ZSTD,HZCRR,Start Time (s),End Time (s)
0.2514094,0.9796493,0.05060056,0.64,2.4465034,0.050802571628505606,0.16,0.0,1.0
0.2475302,0.9627332,0.06568509,0.58,2.6560922,0.11055420765572786,0.16,0.5,1.5
0.21468627,0.95835584,0.04187887,0.64,2.2192574,0.10957721796987971,0.14,1.0,2.0
0.24123067,0.9601548,0.02580942,0.56,2.65208,0.06077558673724603,0.18,1.5,2.5
0.22467995,0.9193056,0.011727114,0.6052631578947368,2.557469,0.06753274937804614,0.18421052631578946,2.0,2.77
