VSTD,VDR,VU,LSTER,Energy_Entropy,ZSTD,HZCRR,Start Time (s),End Time (s)
0.2561424,0.9755783,1.1096268,0.66,2.2819748,0.15341603579138646,0.16,0.0,1.0
0.2072311,0.97447217,1.8184178,0.62,2.2591014,0.15160933733959853,0.22,0.5,1.5
0.20090671,0.97447217,1.8767332,0.62,2.4949255,0.04493891616703032,0.14,1.0,2.0
0.20883822,0.9290372,1.4189177,0.42,3.0782244,0.02281148021021628,0.08,1.5,2.5
0.1920409,0.95906126,1.1102139,0.46,2.777719,0.06767272181573111,0.1,2.0,3.0
0.22264944,0.9249498,0.5885293,0.5869565217391305,2.8946354,0.0714185110153068,0.13043478260869565,2.5,3.421
