VSTD,VDR,VU,LSTER,Energy_Entropy,ZSTD,HZCRR,Start Time (s),End Time (s)
0.16109401,0.9962542,1.8426852,0.8,1.7144543,0.16636331871967602,0.16,0.0,1.0
0.15683052,0.9895901,2.05073,0.7,2.148187,0.15214624395465023,0.12,0.5,1.5
0.19420533,0.9726212,0.8258251,0.42,2.8687494,0.18461118474695093,0.16,1.0,2.0
0.28313968,0.94614244,0.60574603,0.42,2.907138,0.16525430438215372,0.14,1.5,2.5
0.21598995,0.97359234,0.58950883,0.5,2.8197045,0.12664442102648707,0.12,2.0,3.0
0.23419343,0.9803834,0.3031718,0.6923076923076923,1.9252061,0.03818586337987416,0.2564102564102564,2.5,3.292
