VSTD,VDR,VU,LSTER,Energy_Entropy,ZSTD,HZCRR,Start Time (s),End Time (s)
0.26015946,0.99210674,0.72198695,0.48,2.7489138,0.14881026567641237,0.18,0.0,1.0
0.22480465,0.9094316,0.6782744,0.48,3.0780058,0.1086442459769852,0.1,0.5,1.5
0.24355778,0.97654504,0.624878,0.6,2.8879533,0.04666809610512569,0.16,1.0,2.0
0.2775839,0.97785836,0.7702629,0.64,2.9713998,0.051491273258953155,0.1,1.5,2.5
0.25174922,0.9938882,0.5170002,0.62,2.494978,0.03791979797823969,0.06,2.0,3.0
0.26252633,0.99131924,0.17067233,0.46511627906976744,2.7148745,0.04395613965136308,0.11627906976744186,2.5,3.378
